scenario_id,postcode,name,dob,name_first,name_last,sex,email
pl.PL.0,71-019,Ewa Zębik,1918-10-24,Ewa,Zębik,F,zebik@fundacja.org
pl.PL.1,30-005,Iwo Zaniewicz,1968-07-04,Iwo,Zaniewicz,M,izaniewicz68@yahoo.com
pl.PL.2,21-087,Mieszko Taciak,1996-03-25,Mieszko,Taciak,M,mtaciak@onet.pl
pl.PL.3,71-918,Apolonia Pelka,1981-02-23,Apolonia,Pelka,F,a_pelka81@yahoo.com
pl.PL.4,47-543,Anna Maria Trzmiel,1977-07-28,Anna Maria,Trzmiel,F,anna mariat77@interia.pl
pl.PL.5,81-052,Julita Giel,1928-02-29,Julita,Giel,F,julita-giel3@onet.pl
pl.PL.6,97-218,Justyna Rybus,1952-07-16,Justyna,Rybus,F,justyna_rybus@yahoo.com
pl.PL.7,82-470,Miłosz Niksa,1910-11-21,Miłosz,Niksa,M,m.niksa@gmail.com
pl.PL.8,24-270,Dorota Przeklasa,1972-11-26,Dorota,Przeklasa,F,dorotap-72@o2.pl
pl.PL.9,77-079,Mieszko Pituła,2011-09-20,Mieszko,Pituła,M,mieszko.p@o2.pl
pl.PL.10,74-412,Miłosz Pasiut,1977-07-10,Miłosz,Pasiut,M,miloszp-77@onet.pl
pl.PL.11,76-435,Klara Kornak,1926-10-22,Klara,Kornak,F,klarakornak.7@interia.pl
pl.PL.12,42-571,Antoni Twardzik,1944-05-11,Antoni,Twardzik,M,antoni_twardzik_44@sus.pl
pl.PL.13,38-154,Julianna Kanarek,1940-06-14,Julianna,Kanarek,F,j_kanarek40@onet.pl
pl.PL.14,63-163,Julita Tyczka,1973-07-15,Julita,Tyczka,F,jtyczka7@o2.pl
pl.PL.15,53-862,Mariusz Guziak,1913-08-17,Mariusz,Guziak,M,mariusz.guziak.2@gmail.com
pl.PL.16,82-787,Adrian Grygo,1990-05-31,Adrian,Grygo,M,agrygo90@o2.pl
pl.PL.17,28-152,Jakub Tadeusiak,1992-04-15,Jakub,Tadeusiak,M,jakubtadeusiak92@mesjasz.org
pl.PL.18,23-066,Stefan Matela,2017-05-28,Stefan,Matela,M,stefan.matela@fundacja.pl
pl.PL.19,48-465,Cezary Fuławka,2019-07-29,Cezary,Fuławka,M,cezaryfulawka3@gmail.com
pl.PL.20,44-669,Adrianna Kazek,1956-07-02,Adrianna,Kazek,F,adrianna.kazek@grupa.com
pl.PL.21,49-605,Cyprian Marach,2011-02-25,Cyprian,Marach,M,cyprian_marach11@onet.pl
pl.PL.22,64-017,Natasza Bembenek,1998-05-06,Natasza,Bembenek,F,natasza.bembenek@gmail.com
pl.PL.23,26-724,Jerzy Szczap,1952-07-28,Jerzy,Szczap,M,szczap@wejman-bytner.org
pl.PL.24,89-770,Dagmara Supernak,1995-05-04,Dagmara,Supernak,F,dagmara.s@onet.pl
pl.PL.25,05-712,Mieszko Dziugieł,1950-07-28,Mieszko,Dziugieł,M,mieszkodziugiel6@fpuh.com
pl.PL.26,44-959,Julianna Zygmuntowicz,1931-11-24,Julianna,Zygmuntowicz,F,juliannaz31@interia.pl
pl.PL.27,41-893,Adrian Gaudyn,1949-02-11,Adrian,Gaudyn,M,adriangaudyn9@yahoo.com
pl.PL.28,18-998,Urszula Opas,1956-01-11,Urszula,Opas,F,urszula.o@interia.pl
pl.PL.29,06-003,Liwia Andrukiewicz,1975-08-07,Liwia,Andrukiewicz,F,liwiaa_2@onet.pl
pl.PL.30,81-447,Maks Kaczmar,1974-01-23,Maks,Kaczmar,M,maks_kaczmar@hotmail.com
pl.PL.31,09-593,Wiktor Mirończuk,1997-05-22,Wiktor,Mirończuk,M,wiktor.m.5@onet.pl
pl.PL.32,28-991,Adam Pyzel,1938-07-12,Adam,Pyzel,M,adampyzel@hotmail.com
pl.PL.33,88-652,Julita Małocha,1978-03-30,Julita,Małocha,F,julita.malocha78@onet.pl
pl.PL.34,70-515,Radosław Heleniak,1911-06-29,Radosław,Heleniak,M,radoslaw.heleniak5@gmail.com
pl.PL.35,15-393,Marcelina Łaszczyk,1999-03-13,Marcelina,Łaszczyk,F,mlaszczyk99@gmail.com
pl.PL.36,97-007,Jędrzej Hak,1963-06-14,Jędrzej,Hak,M,j.hak@gmail.com
pl.PL.37,27-305,Ida Pyziak,1915-07-31,Ida,Pyziak,F,i_pyziak@yahoo.com
pl.PL.38,33-998,Stefan Terka,1923-06-14,Stefan,Terka,M,stefanterka@gmail.com
pl.PL.39,40-975,Jerzy Herba,1959-05-27,Jerzy,Herba,M,jherba-4@fundacja.net
pl.PL.40,53-405,Olaf Dudała,1979-06-27,Olaf,Dudała,M,olaf.d.0@yahoo.com
pl.PL.41,38-995,Nikodem Pietrak,1954-10-20,Nikodem,Pietrak,M,nikodem.pietrak@stowarzyszenie.com
pl.PL.42,42-720,Albert Misiejuk,1961-01-11,Albert,Misiejuk,M,albertm@o2.pl
pl.PL.43,74-259,Melania Bany,1971-08-02,Melania,Bany,F,melaniabany@yahoo.com
pl.PL.44,97-787,Ryszard Indyka,1956-03-09,Ryszard,Indyka,M,ryszard.indyka56@gmail.com
pl.PL.45,86-921,Bianka Żach,1979-10-11,Bianka,Żach,F,bzach6@yahoo.com
pl.PL.46,43-156,Mariusz Zdancewicz,1953-09-24,Mariusz,Zdancewicz,M,mariusz_zdancewicz_53@o2.pl
pl.PL.47,39-775,Julianna Fularczyk,1920-02-07,Julianna,Fularczyk,F,jfularczyk@o2.pl
pl.PL.48,71-132,Eliza Ficner,1956-10-30,Eliza,Ficner,F,eliza.ficner@gmail.com
pl.PL.49,34-025,Ida Masny,2015-03-20,Ida,Masny,F,idam15@yahoo.com
pl.PL.50,65-549,Olgierd Piersa,1997-12-31,Olgierd,Piersa,M,olgierd_p97@yahoo.com
pl.PL.51,60-499,Olgierd Niesporek,2001-03-17,Olgierd,Niesporek,M,olgierdniesporek.01@filusz.com
pl.PL.52,93-239,Kajetan Linda,1973-09-19,Kajetan,Linda,M,kajetanlinda5@hotmail.com
pl.PL.53,84-664,Cezary Folga,1939-02-16,Cezary,Folga,M,cezary.folga2@yahoo.com
pl.PL.54,22-620,Monika Sobuś,1953-07-29,Monika,Sobuś,F,msobus53@yahoo.com
pl.PL.55,36-708,Damian Witos,2003-01-23,Damian,Witos,M,damian-w-9@grupa.com
pl.PL.56,36-763,Jeremi Bittner,1949-12-16,Jeremi,Bittner,M,jeremibittner-49@interia.pl
pl.PL.57,88-714,Dagmara Jurczuk,2020-04-22,Dagmara,Jurczuk,F,djurczuk20@spadlo.pl
pl.PL.58,22-662,Gabriel Goska,1918-03-07,Gabriel,Goska,M,gabriel_goska_1@yahoo.com
pl.PL.59,59-246,Nicole Drewicz,1948-05-09,Nicole,Drewicz,F,nicoled48@interia.pl
pl.PL.60,73-731,Paweł Pachołek,1991-02-07,Paweł,Pachołek,M,pawel-pacholek-91@grupa.com
